name,dim,percentage,k,type,normalised,2,4,6
vowels,1456,3.4340659341,300,1,1,1,1,0
vowels,1456,3.4340659341,300,0,0,1,1,1
vowels,1456,3.4340659341,300,0,1,1,1,1
wbc,378,5.5555555556,10,1,0,0,0,0
wbc,378,5.5555555556,10,1,1,0,0,0
wbc,378,5.5555555556,10,0,0,1,0,0
wbc,378,5.5555555556,10,0,1,0,0,0
wbc,378,5.5555555556,30,1,0,0,0,0
wbc,378,5.5555555556,30,1,1,0,0,0
wbc,378,5.5555555556,30,0,0,1,1,0
wbc,378,5.5555555556,30,0,1,0,0,0
wbc,378,5.5555555556,50,1,0,0,0,0
wbc,378,5.5555555556,50,1,1,0,0,0
wbc,378,5.5555555556,50,0,0,1,1,0
wbc,378,5.5555555556,50,0,1,0,0,0
wbc,378,5.5555555556,100,1,0,0,0,0
wbc,378,5.5555555556,100,1,1,0,0,0
wbc,378,5.5555555556,100,0,0,1,1,0
wbc,378,5.5555555556,100,0,1,0,0,0
wbc,378,5.5555555556,200,1,0,0,0,0
wbc,378,5.5555555556,200,1,1,0,0,0
wbc,378,5.5555555556,200,0,0,0,1,1
wbc,378,5.5555555556,200,0,1,0,0,0
wbc,378,5.5555555556,300,1,0,0,0,0
wbc,378,5.5555555556,300,1,1,0,0,0
wbc,378,5.5555555556,300,0,0,0,1,1
wbc,378,5.5555555556,300,0,1,0,0,0
