,,,,,equalfreq original,equalfreq original,equalfreq original,equalfreq original,equalfreq normalise,equalfreq normalise,equalfreq normalise,equalfreq normalise,equalwidth original,equalwidth original,equalwidth original,equalwidth original,equalwidth normalise,equalwidth normalise,equalwidth normalise,equalwidth normalise
,name,dimensions,percentage,k,0,2,4,6,0,2,4,6,0,2,4,6,0,2,4,6
80,satellite,6435,31.6394716395,300,0.5962168353,0.5969925965,0.607998402,0.5531970898,0.5962168353,0.644582556,0.6480136359,0.6373856623,0.5962168353,0.5802435006,0.609610496,0.5445525104,0.5962168353,0.6356404228,0.6253756547,0.610013003
81,satimage-2,5803,1.2235050836,10,0.5903575676,0.6402995783,0.6310040986,0.6541828051,0.5903575676,0.5748823015,0.5481359897,0.5557360212,0.5903575676,0.5943996147,0.5022655121,0.4974751736,0.5903575676,0.5647710408,0.5263212211,0.5061380144
82,satimage-2,5803,1.2235050836,30,0.5358059031,0.5516374591,0.5982647455,0.6380468407,0.5358059031,0.4974027697,0.4975059709,0.5205247535,0.5358059031,0.5222202019,0.5733465693,0.746835572,0.5358059031,0.4823427656,0.5778653077,0.6182046922
83,satimage-2,5803,1.2235050836,50,0.5295892592,0.5845217853,0.6153248872,0.7430498433,0.5295892592,0.6266327905,0.6418500536,0.639434654,0.5295892592,0.535245668,0.5810817452,0.752995997,0.5295892592,0.7117983547,0.7195507308,0.6441843665
84,satimage-2,5803,1.2235050836,100,0.9606090837,0.7541599914,0.6708397629,0.5350908662,0.9606090837,0.6458355857,0.6496736876,0.5664468317,0.9606090837,0.9630318548,0.978293347,0.7429696528,0.9606090837,0.7150958788,0.7135896327,0.5304664694
85,satimage-2,5803,1.2235050836,200,0.993911129,0.960513254,0.943163166,0.8266146074,0.993911129,0.565662994,0.5579155323,0.5630731353,0.993911129,0.9944418781,0.9975624859,0.9518689246,0.993911129,0.7292270721,0.6961633724,0.6138554987
86,satimage-2,5803,1.2235050836,300,0.9962724708,0.9775783101,0.9634176307,0.8989021358,0.9962724708,0.5212176759,0.5170650561,0.588372173,0.9962724708,0.9963093284,0.9980170626,0.9845665058,0.9962724708,0.7075867627,0.6518065125,0.5823594744
87,speech,3686,1.6549104721,30,0.4943403053,0.5068716789,0.5011237988,0.5027382702,0.4943403053,0.4900667044,0.4911927643,0.5643730921,0.4943403053,0.5072696439,0.509964952,0.5265076314,0.4943403053,0.5180463539,0.5148535896,0.5118281515
88,speech,3686,1.6549104721,50,0.5154143584,0.5114754098,0.5055149802,0.4994007914,0.5154143584,0.5193035613,0.5236359525,0.5489609949,0.5154143584,0.5171916337,0.5178473714,0.5315364613,0.5154143584,0.5098609384,0.5195794234,0.5156902205
89,speech,3686,1.6549104721,100,0.5204974562,0.5177478802,0.5113035613,0.4980712267,0.5204974562,0.5429327304,0.5410514415,0.5578654607,0.5204974562,0.5221752402,0.5223380441,0.5340599209,0.5204974562,0.490075749,0.5403278689,0.5224963256
